encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
clip_b32,bloodmnist,medical,0,beans,0.831730842590332,0.8828125,500,600,256,128,0.01,1.97458522208035,0.13246334716677666,npu:5
clip_b32,bloodmnist,medical,0,dtd,0.6609042882919312,0.6797872185707092,500,600,256,128,0.01,1.97458522208035,0.056049222126603127,npu:5
clip_b32,bloodmnist,medical,0,eurosat,0.915506899356842,0.9103703498840332,500,600,256,128,0.01,1.97458522208035,0.02152634784579277,npu:5
clip_b32,bloodmnist,medical,0,flowers102,0.803921639919281,0.8359999656677246,500,600,256,128,0.01,1.97458522208035,0.019058380275964737,npu:5
clip_b32,bloodmnist,medical,0,food101,0.6891089081764221,0.7389999628067017,500,600,256,128,0.01,1.97458522208035,0.018158433958888054,npu:5
clip_b32,bloodmnist,medical,0,gtsrb,0.7944936156272888,0.7447999715805054,500,600,256,128,0.01,1.97458522208035,0.016030069440603256,npu:5
clip_b32,bloodmnist,medical,0,oxford_pets,0.8146142363548279,0.7819569110870361,500,600,256,128,0.01,1.97458522208035,0.015582868829369545,npu:5
clip_b32,bloodmnist,medical,1,beans,0.8605769872665405,0.875,500,600,256,128,0.01,1.1667112745344639,0.012559095397591591,npu:5
clip_b32,bloodmnist,medical,1,dtd,0.6781915426254272,0.6638298034667969,500,600,256,128,0.01,1.1667112745344639,0.015031576156616211,npu:5
clip_b32,bloodmnist,medical,1,eurosat,0.9055665731430054,0.9129629731178284,500,600,256,128,0.01,1.1667112745344639,0.013965720310807228,npu:5
clip_b32,bloodmnist,medical,1,flowers102,0.8431373238563538,0.8375999927520752,500,600,256,128,0.01,1.1667112745344639,0.012966016307473183,npu:5
clip_b32,bloodmnist,medical,1,food101,0.6881188750267029,0.739799976348877,500,600,256,128,0.01,1.1667112745344639,0.01626760885119438,npu:5
clip_b32,bloodmnist,medical,1,gtsrb,0.7954769134521484,0.7529999613761902,500,600,256,128,0.01,1.1667112745344639,0.013784941285848618,npu:5
clip_b32,bloodmnist,medical,1,oxford_pets,0.8281461000442505,0.7931316494941711,500,600,256,128,0.01,1.1667112745344639,0.013079697266221046,npu:5
clip_b32,bloodmnist,medical,2,beans,0.8461539149284363,0.859375,500,600,256,128,0.01,1.1563848573714495,0.012510454282164574,npu:5
clip_b32,bloodmnist,medical,2,dtd,0.6555851697921753,0.6638298034667969,500,600,256,128,0.01,1.1563848573714495,0.01376383937895298,npu:5
clip_b32,bloodmnist,medical,2,eurosat,0.9135187864303589,0.9092592597007751,500,600,256,128,0.01,1.1563848573714495,0.013325316831469536,npu:5
clip_b32,bloodmnist,medical,2,flowers102,0.7745099067687988,0.8416000008583069,500,600,256,128,0.01,1.1563848573714495,0.015366876497864723,npu:5
clip_b32,bloodmnist,medical,2,food101,0.6900990605354309,0.740399956703186,500,600,256,128,0.01,1.1563848573714495,0.015315337106585503,npu:5
clip_b32,bloodmnist,medical,2,gtsrb,0.7935103178024292,0.7409999370574951,500,600,256,128,0.01,1.1563848573714495,0.014650112017989159,npu:5
clip_b32,bloodmnist,medical,2,oxford_pets,0.837618350982666,0.7865903377532959,500,600,256,128,0.01,1.1563848573714495,0.014061670750379562,npu:5
clip_b32,bloodmnist,medical,3,beans,0.8461539149284363,0.8828125,500,600,256,128,0.01,1.1615596134215593,0.01385447196662426,npu:5
clip_b32,bloodmnist,medical,3,dtd,0.6609042882919312,0.6654255390167236,500,600,256,128,0.01,1.1615596134215593,0.012620003893971443,npu:5
clip_b32,bloodmnist,medical,3,eurosat,0.9065605401992798,0.9003703594207764,500,600,256,128,0.01,1.1615596134215593,0.014093698933720589,npu:5
clip_b32,bloodmnist,medical,3,flowers102,0.8382353186607361,0.8317999243736267,500,600,256,128,0.01,1.1615596134215593,0.0134336668998003,npu:5
clip_b32,bloodmnist,medical,3,food101,0.693069338798523,0.7411999702453613,500,600,256,128,0.01,1.1615596134215593,0.015156945213675499,npu:5
clip_b32,bloodmnist,medical,3,gtsrb,0.7984267473220825,0.7347999811172485,500,600,256,128,0.01,1.1615596134215593,0.014485860243439674,npu:5
clip_b32,bloodmnist,medical,3,oxford_pets,0.8403246402740479,0.7983101606369019,500,600,256,128,0.01,1.1615596134215593,0.012979447841644287,npu:5
clip_b32,bloodmnist,medical,4,beans,0.884615421295166,0.8671875,500,600,256,128,0.01,1.174411902204156,0.011300701647996902,npu:5
clip_b32,bloodmnist,medical,4,dtd,0.6595745086669922,0.6728723049163818,500,600,256,128,0.01,1.174411902204156,0.012448392808437347,npu:5
clip_b32,bloodmnist,medical,4,eurosat,0.9135187864303589,0.9088888764381409,500,600,256,128,0.01,1.174411902204156,0.0154502484947443,npu:5
clip_b32,bloodmnist,medical,4,flowers102,0.7990196943283081,0.8303999900817871,500,600,256,128,0.01,1.174411902204156,0.013464855030179024,npu:5
clip_b32,bloodmnist,medical,4,food101,0.7049505710601807,0.7417999505996704,500,600,256,128,0.01,1.174411902204156,0.015861978754401207,npu:5
clip_b32,bloodmnist,medical,4,gtsrb,0.8112094402313232,0.740399956703186,500,600,256,128,0.01,1.174411902204156,0.013608567416667938,npu:5
clip_b32,bloodmnist,medical,4,oxford_pets,0.8349119424819946,0.7964022159576416,500,600,256,128,0.01,1.174411902204156,0.012815196067094803,npu:5
clip_b32,breastmnist,medical,0,beans,0.8557692766189575,0.890625,500,600,256,128,0.01,1.1877907179296017,0.011141400784254074,npu:5
clip_b32,breastmnist,medical,0,dtd,0.6382979154586792,0.6712765693664551,500,600,256,128,0.01,1.1877907179296017,0.01212829165160656,npu:5
clip_b32,breastmnist,medical,0,eurosat,0.9105367660522461,0.9051852226257324,500,600,256,128,0.01,1.1877907179296017,0.013008147478103638,npu:5
clip_b32,breastmnist,medical,0,flowers102,0.7647059559822083,0.8141999840736389,500,600,256,128,0.01,1.1877907179296017,0.01379627175629139,npu:5
clip_b32,breastmnist,medical,0,food101,0.695049524307251,0.7289999723434448,500,600,256,128,0.01,1.1877907179296017,0.015493713319301605,npu:5
clip_b32,breastmnist,medical,0,gtsrb,0.7905604839324951,0.7379999160766602,500,600,256,128,0.01,1.1877907179296017,0.014286352321505547,npu:5
clip_b32,breastmnist,medical,0,oxford_pets,0.8213801383972168,0.7860451936721802,500,600,256,128,0.01,1.1877907179296017,0.01251157559454441,npu:5
clip_b32,breastmnist,medical,1,beans,0.8750001192092896,0.8671875,500,600,256,128,0.01,1.1823632400482893,0.01734723336994648,npu:5
clip_b32,breastmnist,medical,1,dtd,0.6569149494171143,0.6643616557121277,500,600,256,128,0.01,1.1823632400482893,0.02143271453678608,npu:5
clip_b32,breastmnist,medical,1,eurosat,0.9065605998039246,0.9062963128089905,500,600,256,128,0.01,1.1823632400482893,0.021519498899579048,npu:5
clip_b32,breastmnist,medical,1,flowers102,0.8088235855102539,0.8041999340057373,500,600,256,128,0.01,1.1823632400482893,0.021367644891142845,npu:5
clip_b32,breastmnist,medical,1,food101,0.6752475500106812,0.7295999526977539,500,600,256,128,0.01,1.1823632400482893,0.024846939370036125,npu:5
clip_b32,breastmnist,medical,1,gtsrb,0.7777777910232544,0.7371999621391296,500,600,256,128,0.01,1.1823632400482893,0.022004280239343643,npu:5
clip_b32,breastmnist,medical,1,oxford_pets,0.8362651467323303,0.7786862850189209,500,600,256,128,0.01,1.1823632400482893,0.0205291248857975,npu:5
clip_b32,breastmnist,medical,2,beans,0.8701924085617065,0.875,500,600,256,128,0.01,1.2008505277335644,0.023784635588526726,npu:5
clip_b32,breastmnist,medical,2,dtd,0.6515957713127136,0.6680850982666016,500,600,256,128,0.01,1.2008505277335644,0.02164844051003456,npu:5
clip_b32,breastmnist,medical,2,eurosat,0.9015904068946838,0.9007407426834106,500,600,256,128,0.01,1.2008505277335644,0.02237986959517002,npu:5
clip_b32,breastmnist,medical,2,flowers102,0.7696079015731812,0.8171999454498291,500,600,256,128,0.01,1.2008505277335644,0.021138206124305725,npu:5
clip_b32,breastmnist,medical,2,food101,0.6851484775543213,0.7335999608039856,500,600,256,128,0.01,1.2008505277335644,0.03349919058382511,npu:5
clip_b32,breastmnist,medical,2,gtsrb,0.8013765811920166,0.7393999695777893,500,600,256,128,0.01,1.2008505277335644,0.024732420220971107,npu:5
clip_b32,breastmnist,medical,2,oxford_pets,0.8322056531906128,0.7871354222297668,500,600,256,128,0.01,1.2008505277335644,0.019659020006656647,npu:5
clip_b32,breastmnist,medical,3,beans,0.8750000596046448,0.8828125,500,600,256,128,0.01,1.14218345656991,0.011928852647542953,npu:5
clip_b32,breastmnist,medical,3,dtd,0.6529256105422974,0.6718084812164307,500,600,256,128,0.01,1.14218345656991,0.014070898294448853,npu:5
clip_b32,breastmnist,medical,3,eurosat,0.8976143002510071,0.8948147892951965,500,600,256,128,0.01,1.14218345656991,0.012850835919380188,npu:5
clip_b32,breastmnist,medical,3,flowers102,0.7892157435417175,0.812999963760376,500,600,256,128,0.01,1.14218345656991,0.012994019314646721,npu:5
clip_b32,breastmnist,medical,3,food101,0.6564356684684753,0.7250000238418579,500,600,256,128,0.01,1.14218345656991,0.014672713354229927,npu:5
clip_b32,breastmnist,medical,3,gtsrb,0.787610650062561,0.725600004196167,500,600,256,128,0.01,1.14218345656991,0.014705881476402283,npu:5
clip_b32,breastmnist,medical,3,oxford_pets,0.813261091709137,0.7759607434272766,500,600,256,128,0.01,1.14218345656991,0.014059120789170265,npu:5
clip_b32,breastmnist,medical,4,beans,0.903846263885498,0.921875,500,600,256,128,0.01,1.1450816839933395,0.01293138787150383,npu:5
clip_b32,breastmnist,medical,4,dtd,0.6422872543334961,0.664893627166748,500,600,256,128,0.01,1.1450816839933395,0.014097139239311218,npu:5
clip_b32,breastmnist,medical,4,eurosat,0.9065605401992798,0.9133332967758179,500,600,256,128,0.01,1.1450816839933395,0.013198869302868843,npu:5
