encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,0,beans,0.8653846979141235,0.8671875,500,600,256,128,0.01,1.9197139143943787,0.16066769696772099,npu:6
resnet50,bloodmnist,medical,0,dtd,0.6196808815002441,0.6154254674911499,500,600,256,128,0.01,1.9197139143943787,0.06691290065646172,npu:6
resnet50,bloodmnist,medical,0,eurosat,0.9115307331085205,0.9129629731178284,500,600,256,128,0.01,1.9197139143943787,0.030420389026403427,npu:6
resnet50,bloodmnist,medical,0,flowers102,0.5882353782653809,0.6649999618530273,500,600,256,128,0.01,1.9197139143943787,0.037005333229899406,npu:6
resnet50,bloodmnist,medical,0,food101,0.39801982045173645,0.42739999294281006,500,600,256,128,0.01,1.9197139143943787,0.03044094890356064,npu:6
resnet50,bloodmnist,medical,0,gtsrb,0.6755162477493286,0.5784000158309937,500,600,256,128,0.01,1.9197139143943787,0.028249159455299377,npu:6
resnet50,bloodmnist,medical,0,oxford_pets,0.8985114097595215,0.8778958320617676,500,600,256,128,0.01,1.9197139143943787,0.027095355093479156,npu:6
resnet50,bloodmnist,medical,1,beans,0.7932692766189575,0.8671875,500,600,256,128,0.01,1.1804415117949247,0.0156781654804945,npu:6
resnet50,bloodmnist,medical,1,dtd,0.6409574747085571,0.6186169385910034,500,600,256,128,0.01,1.1804415117949247,0.023030180484056473,npu:6
resnet50,bloodmnist,medical,1,eurosat,0.8916500806808472,0.9044444561004639,500,600,256,128,0.01,1.1804415117949247,0.021436657756567,npu:6
resnet50,bloodmnist,medical,1,flowers102,0.617647111415863,0.6803999543190002,500,600,256,128,0.01,1.1804415117949247,0.01848796382546425,npu:6
resnet50,bloodmnist,medical,1,food101,0.4099010229110718,0.4381999969482422,500,600,256,128,0.01,1.1804415117949247,0.025179490447044373,npu:6
resnet50,bloodmnist,medical,1,gtsrb,0.6460177302360535,0.5767999887466431,500,600,256,128,0.01,1.1804415117949247,0.0227071400731802,npu:6
resnet50,bloodmnist,medical,1,oxford_pets,0.9066305160522461,0.87953120470047,500,600,256,128,0.01,1.1804415117949247,0.018156904727220535,npu:6
resnet50,bloodmnist,medical,2,beans,0.822115421295166,0.890625,500,600,256,128,0.01,1.1563073061406612,0.015355454757809639,npu:6
resnet50,bloodmnist,medical,2,dtd,0.6103724241256714,0.6164893507957458,500,600,256,128,0.01,1.1563073061406612,0.01888485811650753,npu:6
resnet50,bloodmnist,medical,2,eurosat,0.9005963802337646,0.9044444561004639,500,600,256,128,0.01,1.1563073061406612,0.020677052438259125,npu:6
resnet50,bloodmnist,medical,2,flowers102,0.6127451658248901,0.6789999604225159,500,600,256,128,0.01,1.1563073061406612,0.017706813290715218,npu:6
resnet50,bloodmnist,medical,2,food101,0.39603960514068604,0.43039998412132263,500,600,256,128,0.01,1.1563073061406612,0.02225157991051674,npu:6
resnet50,bloodmnist,medical,2,gtsrb,0.6705998182296753,0.58160001039505,500,600,256,128,0.01,1.1563073061406612,0.020616834983229637,npu:6
resnet50,bloodmnist,medical,2,oxford_pets,0.8958051204681396,0.8871626853942871,500,600,256,128,0.01,1.1563073061406612,0.019642509520053864,npu:6
resnet50,bloodmnist,medical,3,beans,0.8365384936332703,0.8984375,500,600,256,128,0.01,1.206012224778533,0.016626300290226936,npu:6
resnet50,bloodmnist,medical,3,dtd,0.6436170339584351,0.6244680881500244,500,600,256,128,0.01,1.206012224778533,0.019548071548342705,npu:6
resnet50,bloodmnist,medical,3,eurosat,0.8986082673072815,0.9048148393630981,500,600,256,128,0.01,1.206012224778533,0.020981715992093086,npu:6
