encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
resnet50,beans,rank_only,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,cifar100_coarse,tiny_imagenet|cifar100_coarse|cifar100,0.8778846621513366,0.8615385293960571,0.01634613275527952,0.3777773063565277,0.8734375,0.8890625,-0.015625,5,3,21
resnet50,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,organcmnist,organcmnist|cifar100|svhn,0.8778846621513366,0.8634615898132324,0.014423072338104248,0.33333324149802523,0.8734375,0.8578125,0.015625,5,3,21
resnet50,beans,kcenter_subspace,-1,3,21,0.8571428571428572,1,0.25,rendered_sst2,rendered_sst2,1,rendered_sst2,tiny_imagenet|rendered_sst2|usps,0.8778846621513366,0.8778846621513366,0.0,0.0,0.8734375,0.8734375,0.0,5,3,21
resnet50,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.25,rendered_sst2,rendered_sst2,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8778846621513366,0.8701924085617065,0.007692253589630105,0.17777653493993661,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,1,0.25,rendered_sst2,rendered_sst2,1,rendered_sst2,tiny_imagenet|rendered_sst2|usps,0.8778846621513366,0.8778846621513366,0.0,0.0,0.8734375,0.8734375,0.0,5,3,21
resnet50,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.25,rendered_sst2,rendered_sst2,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8778846621513366,0.8701924085617065,0.007692253589630105,0.17777653493993661,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,random,0,3,21,0.8571428571428572,0,0.25,rendered_sst2,rendered_sst2,1,breastmnist,breastmnist|cifar100|dermamnist,0.8778846621513366,0.8634616255760192,0.014423036575317405,0.33333241498024985,0.8734375,0.875,-0.0015625000000000222,5,3,21
resnet50,beans,random,1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,mnist,mnist|pathmnist|svhn,0.8778846621513366,0.8557693004608155,0.022115361690521196,0.5111106029557373,0.8734375,0.859375,0.014062499999999978,5,3,21
resnet50,beans,random,2,3,21,0.8571428571428572,0,0.25,rendered_sst2,rendered_sst2,1,stl10,cifar100_coarse|pathmnist|stl10,0.8778846621513366,0.8701924085617065,0.007692253589630105,0.17777653493993661,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,random,3,3,21,0.8571428571428572,0,0.5,rendered_sst2,rendered_sst2,1,breastmnist,breastmnist|cifar10|tissuemnist,0.8778846621513366,0.8634616255760192,0.014423036575317405,0.33333241498024985,0.8734375,0.875,-0.0015625000000000222,5,3,21
