encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.42857142857142855,0.2261904761904762,0.004249266215733127,0.0927731914886795,-0.010103918824877054,0.8571428571428572,False
resnet50,dpp_subspace,5,7,7,0.42857142857142855,0.3095238095238095,0.003829097747802736,0.08512012250950321,-0.007646780354636055,0.7619047619047619,False
resnet50,dpp_subspace,10,7,7,0.42857142857142855,0.4523809523809524,0.003659026963370187,0.07940702550636206,-0.005477682181767053,0.5238095238095238,False
resnet50,facility_subspace,3,7,7,0.14285714285714285,0.19047619047619047,0.011741975375584206,0.2267160346103167,0.005962663037436334,0.8571428571428572,False
resnet50,facility_subspace,5,7,7,0.2857142857142857,0.2261904761904762,0.009681536470140742,0.1790970001105988,0.003730520180293478,0.7619047619047619,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.5357142857142857,0.0070410779544285585,0.13073738734687285,0.003665098122188023,0.5238095238095238,False
resnet50,full_merged_rank,3,7,7,0.42857142857142855,0.2261904761904762,0.004249266215733127,0.0927731914886795,-0.010103918824877054,0.8571428571428572,False
resnet50,full_merged_rank,5,7,7,0.42857142857142855,0.4047619047619047,0.003659026963370187,0.07940702550636206,-0.005477682181767053,0.7619047619047619,False
resnet50,full_merged_rank,10,7,7,0.5714285714285714,0.5357142857142858,0.003375012534005311,0.06467929564090828,-0.005234292575291217,0.5238095238095238,False
resnet50,kcenter_subspace,3,7,7,0.5714285714285714,0.2738095238095238,0.002954788718904771,0.060445712182216546,-0.0032252005168369852,0.8571428571428572,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.4166666666666666,5.6801523481087024e-05,0.0029454753254840637,-0.00028571912220546177,0.7619047619047619,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.6785714285714286,5.6801523481087024e-05,0.0029454753254840637,-0.00028571912220546177,0.5238095238095238,False
resnet50,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2738095238095238,0.002954788718904771,0.060445712182216546,-0.0032252005168369852,0.8571428571428572,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.4166666666666666,5.6801523481087024e-05,0.0029454753254840637,-0.00028571912220546177,0.7619047619047619,False
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,0.6785714285714286,5.6801523481087024e-05,0.0029454753254840637,-0.00028571912220546177,0.5238095238095238,False
resnet50,random,3,700,7,0.14857142857142858,0.1467857142857143,0.01098344144650868,0.227016145756566,0.002340197137423908,0.8571428571428572,False
resnet50,random,5,700,7,0.2557142857142857,0.2530952380952381,0.008125912359782628,0.16321716746703172,0.0011103213344301375,0.7619047619047619,False
resnet50,random,10,700,7,0.46,0.46,0.004769027922834671,0.09438120905548474,0.0003846522739955262,0.5238095238095238,False
resnet50,rank_only,3,7,7,0.42857142857142855,0.23809523809523808,0.005595578466142924,0.12073372060378178,-0.004749822616577153,0.8571428571428572,False
resnet50,rank_only,5,7,7,0.42857142857142855,0.4047619047619047,0.003659026963370187,0.07940702550636206,-0.005477682181767053,0.7619047619047619,False
resnet50,rank_only,10,7,7,0.5714285714285714,0.5,0.003375012534005311,0.06467929564090828,-0.005234292575291217,0.5238095238095238,False
