encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
vit_b16,bloodmnist,medical,0,beans,0.8701924085617065,0.796875,500,600,256,128,0.01,2.121561549603939,0.15882365219295025,npu:5
vit_b16,bloodmnist,medical,0,dtd,0.5984042882919312,0.6021276116371155,500,600,256,128,0.01,2.121561549603939,0.06043818220496178,npu:5
vit_b16,bloodmnist,medical,0,eurosat,0.8886679410934448,0.8929629325866699,500,600,256,128,0.01,2.121561549603939,0.02774048037827015,npu:5
vit_b16,bloodmnist,medical,0,flowers102,0.6421569585800171,0.7095999717712402,500,600,256,128,0.01,2.121561549603939,0.02455350197851658,npu:5
vit_b16,bloodmnist,medical,0,food101,0.43366339802742004,0.47380000352859497,500,600,256,128,0.01,2.121561549603939,0.02535022422671318,npu:5
vit_b16,bloodmnist,medical,0,gtsrb,0.6253687143325806,0.5031999349594116,500,600,256,128,0.01,2.121561549603939,0.019712071865797043,npu:5
vit_b16,bloodmnist,medical,0,oxford_pets,0.9093368649482727,0.8977922201156616,500,600,256,128,0.01,2.121561549603939,0.018214039504528046,npu:5
vit_b16,bloodmnist,medical,1,beans,0.8461538553237915,0.8828125,500,600,256,128,0.01,1.2519414890557528,0.022020068019628525,npu:5
vit_b16,bloodmnist,medical,1,dtd,0.6130319237709045,0.6154255270957947,500,600,256,128,0.01,1.2519414890557528,0.020772892981767654,npu:5
vit_b16,bloodmnist,medical,1,eurosat,0.8996023535728455,0.886296272277832,500,600,256,128,0.01,1.2519414890557528,0.03934492543339729,npu:5
vit_b16,bloodmnist,medical,1,flowers102,0.6421569585800171,0.7049999237060547,500,600,256,128,0.01,1.2519414890557528,0.0226361695677042,npu:5
vit_b16,bloodmnist,medical,1,food101,0.41386139392852783,0.46139997243881226,500,600,256,128,0.01,1.2519414890557528,0.018284229561686516,npu:5
vit_b16,bloodmnist,medical,1,gtsrb,0.6214356422424316,0.4991999566555023,500,600,256,128,0.01,1.2519414890557528,0.020526932552456856,npu:5
vit_b16,bloodmnist,medical,1,oxford_pets,0.894451916217804,0.8967020511627197,500,600,256,128,0.01,1.2519414890557528,0.015649273991584778,npu:5
vit_b16,bloodmnist,medical,2,beans,0.8413462042808533,0.875,500,600,256,128,0.01,1.2294240705668926,0.014175660908222198,npu:5
vit_b16,bloodmnist,medical,2,dtd,0.5864361524581909,0.6111701726913452,500,600,256,128,0.01,1.2294240705668926,0.01375013217329979,npu:5
vit_b16,bloodmnist,medical,2,eurosat,0.89463210105896,0.9003703594207764,500,600,256,128,0.01,1.2294240705668926,0.016144493594765663,npu:5
vit_b16,bloodmnist,medical,2,flowers102,0.6421568989753723,0.693399965763092,500,600,256,128,0.01,1.2294240705668926,0.016321556642651558,npu:5
vit_b16,bloodmnist,medical,2,food101,0.4207921028137207,0.46879997849464417,500,600,256,128,0.01,1.2294240705668926,0.018069328740239143,npu:5
vit_b16,bloodmnist,medical,2,gtsrb,0.6057031154632568,0.5069999694824219,500,600,256,128,0.01,1.2294240705668926,0.015929996967315674,npu:5
vit_b16,bloodmnist,medical,2,oxford_pets,0.913396418094635,0.8964295387268066,500,600,256,128,0.01,1.2294240705668926,0.01647438295185566,npu:5
vit_b16,bloodmnist,medical,3,beans,0.841346263885498,0.8515625,500,600,256,128,0.01,1.1662307027727365,0.013987511396408081,npu:5
vit_b16,bloodmnist,medical,3,dtd,0.5744681358337402,0.6058510541915894,500,600,256,128,0.01,1.1662307027727365,0.0164411049336195,npu:5
vit_b16,bloodmnist,medical,3,eurosat,0.8976142406463623,0.897777795791626,500,600,256,128,0.01,1.1662307027727365,0.018328940495848656,npu:5
vit_b16,bloodmnist,medical,3,flowers102,0.6617647409439087,0.7026000022888184,500,600,256,128,0.01,1.1662307027727365,0.016048602759838104,npu:5
vit_b16,bloodmnist,medical,3,food101,0.4297029972076416,0.45799994468688965,500,600,256,128,0.01,1.1662307027727365,0.017370307818055153,npu:5
vit_b16,bloodmnist,medical,3,gtsrb,0.6312684416770935,0.4883999824523926,500,600,256,128,0.01,1.1662307027727365,0.017273304983973503,npu:5
vit_b16,bloodmnist,medical,3,oxford_pets,0.9106900691986084,0.899972677230835,500,600,256,128,0.01,1.1662307027727365,0.026655208319425583,npu:5
vit_b16,bloodmnist,medical,4,beans,0.8605769872665405,0.78125,500,600,256,128,0.01,1.193169118836522,0.013517258688807487,npu:5
vit_b16,bloodmnist,medical,4,dtd,0.6183511018753052,0.612765908241272,500,600,256,128,0.01,1.193169118836522,0.015122571960091591,npu:5
vit_b16,bloodmnist,medical,4,eurosat,0.8936381340026855,0.8925925493240356,500,600,256,128,0.01,1.193169118836522,0.014351088553667068,npu:5
vit_b16,bloodmnist,medical,4,flowers102,0.6421569585800171,0.7067999839782715,500,600,256,128,0.01,1.193169118836522,0.015538573265075684,npu:5
vit_b16,bloodmnist,medical,4,food101,0.42475247383117676,0.45799997448921204,500,600,256,128,0.01,1.193169118836522,0.016324486583471298,npu:5
vit_b16,bloodmnist,medical,4,gtsrb,0.626352071762085,0.49219998717308044,500,600,256,128,0.01,1.193169118836522,0.016280965879559517,npu:5
vit_b16,bloodmnist,medical,4,oxford_pets,0.8998645544052124,0.8934314250946045,500,600,256,128,0.01,1.193169118836522,0.014145022258162498,npu:5
vit_b16,breastmnist,medical,0,beans,0.836538553237915,0.859375,500,600,256,128,0.01,1.2491605933755636,0.015757324174046516,npu:5
vit_b16,breastmnist,medical,0,dtd,0.5957447290420532,0.5994680523872375,500,600,256,128,0.01,1.2491605933755636,0.014706064015626907,npu:5
vit_b16,breastmnist,medical,0,eurosat,0.8817096948623657,0.8822222352027893,500,600,256,128,0.01,1.2491605933755636,0.016497604548931122,npu:5
vit_b16,breastmnist,medical,0,flowers102,0.6372549533843994,0.6957999467849731,500,600,256,128,0.01,1.2491605933755636,0.014743590727448463,npu:5
vit_b16,breastmnist,medical,0,food101,0.4188118875026703,0.47099998593330383,500,600,256,128,0.01,1.2491605933755636,0.015746071934700012,npu:5
vit_b16,breastmnist,medical,0,gtsrb,0.6155358552932739,0.5083999633789062,500,600,256,128,0.01,1.2491605933755636,0.01643221639096737,npu:5
vit_b16,breastmnist,medical,0,oxford_pets,0.9039241671562195,0.894794225692749,500,600,256,128,0.01,1.2491605933755636,0.014722391963005066,npu:5
vit_b16,breastmnist,medical,1,beans,0.822115421295166,0.7890625,500,600,256,128,0.01,1.1908145360648632,0.013845030218362808,npu:5
vit_b16,breastmnist,medical,1,dtd,0.5970745086669922,0.6085106134414673,500,600,256,128,0.01,1.1908145360648632,0.01524532400071621,npu:5
vit_b16,breastmnist,medical,1,eurosat,0.8926440477371216,0.8918518424034119,500,600,256,128,0.01,1.1908145360648632,0.014388501644134521,npu:5
vit_b16,breastmnist,medical,1,flowers102,0.6078431606292725,0.6990000009536743,500,600,256,128,0.01,1.1908145360648632,0.014493083581328392,npu:5
vit_b16,breastmnist,medical,1,food101,0.4306930899620056,0.4665999710559845,500,600,256,128,0.01,1.1908145360648632,0.015933943912386894,npu:5
vit_b16,breastmnist,medical,1,gtsrb,0.6017699837684631,0.5080000162124634,500,600,256,128,0.01,1.1908145360648632,0.015820225700736046,npu:5
vit_b16,breastmnist,medical,1,oxford_pets,0.907983660697937,0.8997001647949219,500,600,256,128,0.01,1.1908145360648632,0.015564953908324242,npu:5
vit_b16,breastmnist,medical,2,beans,0.8557693362236023,0.8515625,500,600,256,128,0.01,1.2407349031418562,0.016851628199219704,npu:5
vit_b16,breastmnist,medical,2,dtd,0.5904255509376526,0.6085106134414673,500,600,256,128,0.01,1.2407349031418562,0.020792502909898758,npu:5
vit_b16,breastmnist,medical,2,eurosat,0.8936381340026855,0.8818519115447998,500,600,256,128,0.01,1.2407349031418562,0.020643863826990128,npu:5
vit_b16,breastmnist,medical,2,flowers102,0.6127451658248901,0.6913999319076538,500,600,256,128,0.01,1.2407349031418562,0.021206995472311974,npu:5
vit_b16,breastmnist,medical,2,food101,0.4297029972076416,0.47519999742507935,500,600,256,128,0.01,1.2407349031418562,0.021573929116129875,npu:5
vit_b16,breastmnist,medical,2,gtsrb,0.629301905632019,0.5239999890327454,500,600,256,128,0.01,1.2407349031418562,0.01907477155327797,npu:5
vit_b16,breastmnist,medical,2,oxford_pets,0.9106900691986084,0.8988825082778931,500,600,256,128,0.01,1.2407349031418562,0.020667996257543564,npu:5
vit_b16,breastmnist,medical,3,beans,0.8028846979141235,0.828125,500,600,256,128,0.01,1.3003114517778158,0.015697935596108437,npu:5
vit_b16,breastmnist,medical,3,dtd,0.5984042882919312,0.6138297319412231,500,600,256,128,0.01,1.3003114517778158,0.017096657305955887,npu:5
vit_b16,breastmnist,medical,3,eurosat,0.9015904068946838,0.8822222352027893,500,600,256,128,0.01,1.3003114517778158,0.015720874071121216,npu:5
vit_b16,breastmnist,medical,3,flowers102,0.6764706373214722,0.7151999473571777,500,600,256,128,0.01,1.3003114517778158,0.016278725117444992,npu:5
vit_b16,breastmnist,medical,3,food101,0.42376238107681274,0.4657999873161316,500,600,256,128,0.01,1.3003114517778158,0.016945617273449898,npu:5
vit_b16,breastmnist,medical,3,gtsrb,0.6224188804626465,0.5108000040054321,500,600,256,128,0.01,1.3003114517778158,0.017824755981564522,npu:5
vit_b16,breastmnist,medical,3,oxford_pets,0.9052773118019104,0.9016079902648926,500,600,256,128,0.01,1.3003114517778158,0.016127144917845726,npu:5
vit_b16,breastmnist,medical,4,beans,0.826923131942749,0.78125,500,600,256,128,0.01,1.2055439669638872,0.014300869777798653,npu:5
vit_b16,breastmnist,medical,4,dtd,0.5797872543334961,0.6042553186416626,500,600,256,128,0.01,1.2055439669638872,0.014274289831519127,npu:5
vit_b16,breastmnist,medical,4,eurosat,0.8976142406463623,0.8892592787742615,500,600,256,128,0.01,1.2055439669638872,0.01649278588593006,npu:5
vit_b16,breastmnist,medical,4,flowers102,0.671568751335144,0.7065999507904053,500,600,256,128,0.01,1.2055439669638872,0.0161699540913105,npu:5
vit_b16,breastmnist,medical,4,food101,0.43564358353614807,0.4607999920845032,500,600,256,128,0.01,1.2055439669638872,0.017543578520417213,npu:5
vit_b16,breastmnist,medical,4,gtsrb,0.6420845985412598,0.5091999769210815,500,600,256,128,0.01,1.2055439669638872,0.018252531066536903,npu:5
vit_b16,breastmnist,medical,4,oxford_pets,0.9039241671562195,0.9018806219100952,500,600,256,128,0.01,1.2055439669638872,0.015259694308042526,npu:5
vit_b16,cifar10,general_vision,0,beans,0.8653846979141235,0.8203125,500,600,256,128,0.01,1.2241101376712322,0.013204766437411308,npu:5
vit_b16,cifar10,general_vision,0,dtd,0.6156914830207825,0.6053191423416138,500,600,256,128,0.01,1.2241101376712322,0.0156069565564394,npu:5
vit_b16,cifar10,general_vision,0,eurosat,0.8906559944152832,0.8896296620368958,500,600,256,128,0.01,1.2241101376712322,0.016049694269895554,npu:5
vit_b16,cifar10,general_vision,0,flowers102,0.6225490570068359,0.6973999738693237,500,600,256,128,0.01,1.2241101376712322,0.017437448725104332,npu:5
vit_b16,cifar10,general_vision,0,food101,0.4287128746509552,0.4715999960899353,500,600,256,128,0.01,1.2241101376712322,0.016817407682538033,npu:5
vit_b16,cifar10,general_vision,0,gtsrb,0.6460177302360535,0.5166000127792358,500,600,256,128,0.01,1.2241101376712322,0.01796429045498371,npu:5
vit_b16,cifar10,general_vision,0,oxford_pets,0.9106900691986084,0.8972471356391907,500,600,256,128,0.01,1.2241101376712322,0.014907563105225563,npu:5
vit_b16,cifar10,general_vision,1,beans,0.8076924085617065,0.8359375,500,600,256,128,0.01,1.2778590433299541,0.014053309336304665,npu:5
vit_b16,cifar10,general_vision,1,dtd,0.6130319833755493,0.6271276473999023,500,600,256,128,0.01,1.2778590433299541,0.015619153156876564,npu:5
vit_b16,cifar10,general_vision,1,eurosat,0.8856858015060425,0.8796296119689941,500,600,256,128,0.01,1.2778590433299541,0.015620231628417969,npu:5
vit_b16,cifar10,general_vision,1,flowers102,0.6519608497619629,0.7211999893188477,500,600,256,128,0.01,1.2778590433299541,0.01696973666548729,npu:5
vit_b16,cifar10,general_vision,1,food101,0.4297029972076416,0.4747999906539917,500,600,256,128,0.01,1.2778590433299541,0.016823936253786087,npu:5
vit_b16,cifar10,general_vision,1,gtsrb,0.5988200902938843,0.49479997158050537,500,600,256,128,0.01,1.2778590433299541,0.015714803710579872,npu:5
vit_b16,cifar10,general_vision,1,oxford_pets,0.9052773714065552,0.8885254263877869,500,600,256,128,0.01,1.2778590433299541,0.014822011813521385,npu:5
vit_b16,cifar10,general_vision,2,beans,0.8028846979141235,0.8359375,500,600,256,128,0.01,1.2199989277869463,0.017676308751106262,npu:5
vit_b16,cifar10,general_vision,2,dtd,0.5984042882919312,0.6106382608413696,500,600,256,128,0.01,1.2199989277869463,0.01470322348177433,npu:5
vit_b16,cifar10,general_vision,2,eurosat,0.8836977481842041,0.8781481385231018,500,600,256,128,0.01,1.2199989277869463,0.015783576294779778,npu:5
vit_b16,cifar10,general_vision,2,flowers102,0.6911765336990356,0.7087999582290649,500,600,256,128,0.01,1.2199989277869463,0.016152003780007362,npu:5
vit_b16,cifar10,general_vision,2,food101,0.4277227818965912,0.46859997510910034,500,600,256,128,0.01,1.2199989277869463,0.01597982458770275,npu:5
